date,time,race,type,location
2/4/20,16:14:13,middle eastern or south asian,3 Non-Moving,H ST
2/4/20,08:53:26,white,1 Moving,SYCAMORE LN
2/4/20,10:24:36,hispanic/latino(a),2 Equipment,E COVELL BL
2/4/20,11:40:47,asian,1 Moving,ANDERSON RD
2/5/20,15:59:48,white,3 Non-Moving,POLE LINE RD
2/5/20,09:21:14,middle eastern or south asian,1 Moving,OAK AV
2/5/20,14:59:44,black/african american,1 Moving,F ST
2/5/20,21:18:19,black/african american,2 Equipment,OLIVE DR
2/5/20,09:27:50,black/african american,1 Moving,E 8TH ST
2/5/20,16:45:20,white,3 Non-Moving,MACE BL
2/5/20,08:41:57,white,1 Moving,DANBURY ST
2/5/20,10:10:10,white,1 Moving,ANDERSON RD
2/5/20,12:48:10,asian,1 Moving,2ND ST
2/5/20,13:11:32,white,1 Moving,ANDERSON RD
2/5/20,08:53:48,white,1 Moving,E 14TH ST
2/5/20,10:49:07,white,1 Moving,SYCAMORE LN
2/5/20,09:08:38,white,1 Moving,W 14TH ST
2/5/20,16:33:08,white,1 Moving,MACE BL
2/5/20,13:11:13,white,1 Moving,2ND ST
2/5/20,00:03:23,white,3 Non-Moving,I 80 E
2/5/20,08:36:57,hispanic/latino(a),1 Moving,E 14TH ST
2/5/20,00:03:23,white,3 Non-Moving,I 80 E
2/5/20,09:37:28,white,3 Non-Moving,ANDERSON RD
2/5/20,13:35:04,hispanic/latino(a),1 Moving,CANTRILL DR
2/5/20,12:40:56,white,1 Moving,COWELL BL
2/5/20,09:27:50,black/african american,1 Moving,E 8TH ST
2/5/20,21:29:24,white,3 Non-Moving,OLIVE DR
2/5/20,08:44:42,hispanic/latino(a),1 Moving,5TH ST
2/5/20,09:53:03,asian,1 Moving,ANDERSON RD
2/5/20,17:24:47,black/african american,3 Non-Moving,2ND ST
2/5/20,01:29:54,asian,2 Equipment,LYNDELL TR
2/5/20,02:34:30,hispanic/latino(a),2 Equipment,4TH ST
2/5/20,10:32:35,hispanic/latino(a),1 Moving,ANDERSON RD
2/6/20,08:02:25,white,1 Moving,W COVELL BL
2/6/20,11:55:39,middle eastern or south asian,2 Equipment,ANDERSON RD
2/6/20,09:54:23,asian,1 Moving,E 8TH ST
2/6/20,20:09:50,hispanic/latino(a),2 Equipment,COWELL BL
2/6/20,15:17:33,black/african american,1 Moving,E 14TH ST
2/6/20,15:19:35,asian,1 Moving,E 8TH ST
2/6/20,10:00:22,white,1 Moving,LILLARD DR
2/6/20,22:53:29,white,1 Moving,W COVELL BL
2/6/20,08:36:42,asian,1 Moving,SYCAMORE LN
2/6/20,23:13:29,white,1 Moving,LAKE BL
2/6/20,23:21:05,asian,1 Moving,RUSSELL BL
2/6/20,12:47:50,hispanic/latino(a),2 Equipment,ANDERSON RD
2/6/20,23:06:48,hispanic/latino(a),1 Moving,W OLIVE DR
2/6/20,15:31:51,white,1 Moving,VILLANOVA DR
2/6/20,09:18:55,white,3 Non-Moving,RUSSELL BL
2/6/20,13:19:29,white,3 Non-Moving,W COVELL BL
2/6/20,09:36:59,white,2 Equipment,E ST
2/6/20,12:51:46,white,1 Moving,DANBURY ST
2/6/20,11:39:39,white,2 Equipment,ANDERSON RD
2/6/20,12:09:40,asian,1 Moving,ANDERSON RD
2/6/20,09:09:19,asian,1 Moving,SYCAMORE LN
2/6/20,20:35:18,middle eastern or south asian,2 Equipment,MACE BL
2/7/20,16:04:56,middle eastern or south asian,1 Moving,MACE BL
2/7/20,22:41:41,white,2 Equipment,5TH ST
2/7/20,21:12:22,white,3 Non-Moving,RUSSELL BL
2/7/20,12:14:36,white,1 Moving,RUSSELL BL
2/7/20,17:02:47,middle eastern or south asian,1 Moving,MACE BL
2/7/20,22:27:24,black/african american,2 Equipment,RUSSELL BL
2/7/20,14:22:18,white,1 Moving,I 80 E
2/7/20,22:17:12,middle eastern or south asian,2 Equipment,2ND ST
2/7/20,14:43:39,white,1 Moving,5TH ST
2/7/20,16:31:03,black/african american,1 Moving,MACE BL
2/7/20,16:40:34,white,1 Moving,MACE BL
2/7/20,15:37:39,white,1 Moving,MACE BL
2/7/20,17:00:02,asian,1 Moving,MACE BL
2/7/20,12:00:02,asian,1 Moving,3RD ST
2/7/20,23:46:41,white,2 Equipment,F ST
2/7/20,22:27:49,black/african american,1 Moving,LA RUE RD
2/7/20,17:43:12,white,1 Moving,MACE BL
2/7/20,11:08:46,white,1 Moving,CHILES RD
2/7/20,23:55:24,asian,2 Equipment,ANDERSON RD
2/7/20,16:25:16,hispanic/latino(a),1 Moving,MACE BL
2/7/20,17:55:07,middle eastern or south asian,1 Moving,MACE BL
2/7/20,14:35:39,hispanic/latino(a),1 Moving,COWELL BL
2/7/20,23:33:12,hispanic/latino(a),2 Equipment,DREW CI
2/7/20,16:18:40,middle eastern or south asian,1 Moving,MACE BL
2/7/20,16:47:25,middle eastern or south asian,1 Moving,MACE BL
2/7/20,16:56:44,middle eastern or south asian,1 Moving,MACE BL
2/7/20,23:38:55,white,2 Equipment,5TH ST
2/8/20,09:26:53,middle eastern or south asian,2 Equipment,ARLINGTON BL
2/8/20,21:44:42,hispanic/latino(a),1 Moving,F ST
2/8/20,09:17:22,white,1 Moving,5TH ST
2/8/20,23:23:28,black/african american,2 Equipment,DREW AV
2/8/20,23:47:59,hispanic/latino(a),2 Equipment,3RD ST
2/8/20,20:06:44,white,1 Moving,VILLANOVA DR
2/8/20,22:41:32,hispanic/latino(a),2 Equipment,COWELL BL
2/8/20,20:21:19,asian,3 Non-Moving,2ND ST
2/8/20,17:50:38,white,1 Moving,5TH ST
2/8/20,22:49:03,white,2 Equipment,RUSSELL BL
2/8/20,14:41:57,asian,1 Moving,ROCKWELL DR
2/8/20,05:23:11,white,1 Moving,5TH ST
2/9/20,01:31:19,white,2 Equipment,POLE LINE RD
2/9/20,22:21:39,white,1 Moving,POLE LINE RD
2/9/20,11:43:23,white,1 Moving,A ST
2/9/20,23:58:32,white,1 Moving,G ST
2/9/20,19:52:14,asian,2 Equipment,ANDERSON RD
2/9/20,22:02:20,hispanic/latino(a),1 Moving,ANDERSON RD
2/9/20,21:33:18,white,2 Equipment,3RD ST
2/9/20,01:16:54,white,3 Non-Moving,5TH ST
2/9/20,22:38:18,white,2 Equipment,POLE LINE RD
2/9/20,01:22:50,hispanic/latino(a),1 Moving,E COVELL BL
2/9/20,21:57:01,asian,1 Moving,2ND ST
2/9/20,21:51:47,white,2 Equipment,2ND ST
2/9/20,22:53:16,white,1 Moving,HWY 113
2/9/20,00:32:04,white,2 Equipment,RICHARDS BL
2/9/20,21:07:29,white,2 Equipment,RUSSELL BL
2/9/20,23:03:05,asian,2 Equipment,ANDERSON RD
2/10/20,14:30:23,white,1 Moving,W COVELL BL
2/10/20,09:36:10,hispanic/latino(a),1 Moving,3RD ST
2/10/20,14:06:00,white,1 Moving,J ST
2/10/20,17:34:58,black/african american,2 Equipment,L ST
2/10/20,18:57:10,asian,1 Moving,CANNERY LOOP
2/10/20,11:13:40,hispanic/latino(a),1 Moving,1ST ST
2/10/20,09:48:05,white,1 Moving,ANDERSON RD
2/10/20,13:58:46,black/african american,3 Non-Moving,W COVELL BL
2/10/20,09:22:55,white,1 Moving,ANDERSON RD
2/10/20,10:58:53,middle eastern or south asian,1 Moving,COWELL BL
2/10/20,14:26:18,white,1 Moving,ALICE ST
2/10/20,12:06:12,white,1 Moving,3RD ST
2/10/20,06:15:25,white,1 Moving,MACE BL
2/10/20,13:47:28,white,1 Moving,W COVELL BL
2/10/20,14:12:27,asian,1 Moving,J ST
2/10/20,06:23:28,white,1 Moving,MACE BL
2/10/20,08:24:00,white,3 Non-Moving,E COVELL BL
2/10/20,13:56:46,white,1 Moving,J ST
2/10/20,17:19:51,hispanic/latino(a),2 Equipment,OLIVE DR
2/10/20,15:59:32,white,1 Moving,GRANDE AV
2/10/20,09:36:10,hispanic/latino(a),1 Moving,3RD ST
2/10/20,12:13:45,white,1 Moving,E COVELL BL
2/10/20,14:59:01,white,2 Equipment,J ST
2/10/20,18:18:43,white,1 Moving,I 80 W
2/10/20,07:29:21,mixed,2 Equipment,W 8TH ST
2/10/20,09:36:10,hispanic/latino(a),1 Moving,3RD ST
2/10/20,10:05:30,black/african american,1 Moving,ANDERSON RD
2/11/20,20:14:31,white,3 Non-Moving,RICHARDS BL
2/11/20,22:53:37,middle eastern or south asian,1 Moving,F ST
2/11/20,15:10:07,white,3 Non-Moving,E 8TH ST
2/11/20,08:06:33,hispanic/latino(a),1 Moving,E 8TH ST
