,date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
4674,2022-01-27 19:40:00,1900-01-01 19:40:00,hispanic/latino(a),1_Moving violation,No,1.0,SB 101 at Central San Rafael Exit ,17:28:23,17:57:00,1048.0,1077.0,1180.0,-103.0,1,1
4675,2022-01-27 20:21:00,1900-01-01 20:21:00,black/african american,2_Equipment violation,No,3.0,Drake Ave/ Donahue St,17:28:23,17:57:00,1048.0,1077.0,1221.0,-144.0,1,1
4676,2022-01-27 21:15:00,1900-01-01 21:15:00,white,2_Equipment violation,No,3.0,Donahue st/ Drake Ave,17:28:23,17:57:00,1048.0,1077.0,1275.0,-198.0,0,1
4677,2022-01-27 22:14:00,1900-01-01 22:14:00,asian,1_Moving violation,No,19.0,Sb 101 at Lucas valley ,17:28:23,17:57:00,1048.0,1077.0,1334.0,-257.0,0,1
4678,2022-01-27 22:18:00,1900-01-01 22:18:00,middle eastern or south asian,2_Equipment violation,No,1.0,NB 101 at St Vincent’s ,17:28:23,17:57:00,1048.0,1077.0,1338.0,-261.0,0,1
4679,2022-01-27 22:23:00,1900-01-01 22:23:00,white,2_Equipment violation,No,3.0,Hwy 101/ Lucky Dr,17:28:23,17:57:00,1048.0,1077.0,1343.0,-266.0,0,1
4680,2022-01-27 22:16:00,1900-01-01 22:16:00,white,2_Equipment violation,No,4.0,3000 Sir Francis Drake,17:28:23,17:57:00,1048.0,1077.0,1336.0,-259.0,0,1
4681,2022-01-27 23:16:00,1900-01-01 23:16:00,white,1_Moving violation,No,7.0,11600 pt Reyes Petaluma rd,17:28:23,17:57:00,1048.0,1077.0,1396.0,-319.0,0,1
4688,2022-01-27 20:02:00,1900-01-01 20:02:00,black/african american,2_Equipment violation,No,1.0,N/B 101 at 131,17:28:23,17:57:00,1048.0,1077.0,1202.0,-125.0,1,1
4689,2022-01-27 20:14:00,1900-01-01 20:14:00,black/african american,2_Equipment violation,No,1.0,Bridge  Blvd at Bridgeway ,17:28:23,17:57:00,1048.0,1077.0,1214.0,-137.0,1,1
4690,2022-01-27 21:40:00,1900-01-01 21:40:00,black/african american,2_Equipment violation,No,1.0,Bridge Blvd at Bridgeway,17:28:23,17:57:00,1048.0,1077.0,1300.0,-223.0,0,1
4691,2022-01-27 23:28:00,1900-01-01 23:28:00,black/african american,2_Equipment violation,No,1.0,N/B 101 at Seminary ,17:28:23,17:57:00,1048.0,1077.0,1408.0,-331.0,0,1
4692,2022-01-27 23:47:00,1900-01-01 23:47:00,black/african american,2_Equipment violation,No,1.0,Bridge at Bridgeway ,17:28:23,17:57:00,1048.0,1077.0,1427.0,-350.0,0,1
4702,2022-01-28 20:08:00,1900-01-01 20:08:00,hispanic/latino(a),"3_Non-moving violation, including registration",No,1.0,N. SAN PEDRO RD AND Merrydale,17:29:31,17:58:04,1050.0,1078.0,1208.0,-130.0,1,1
4703,2022-01-28 20:55:00,1900-01-01 20:55:00,white,"3_Non-moving violation, including registration",No,1.0,SB101 at Marinwood ,17:29:31,17:58:04,1050.0,1078.0,1255.0,-177.0,1,1
4704,2022-01-28 23:32:00,1900-01-01 23:32:00,white,1_Moving violation,No,19.0,100 Lincoln at Sb 101,17:29:31,17:58:04,1050.0,1078.0,1412.0,-334.0,0,1
4705,2022-01-28 23:20:00,1900-01-01 23:20:00,hispanic/latino(a),1_Moving violation,No,1.0,SN 101 at N. San Pedro ,17:29:31,17:58:04,1050.0,1078.0,1400.0,-322.0,0,1
4714,2022-01-28 22:18:00,1900-01-01 22:18:00,black/african american,"3_Non-moving violation, including registration",No,0.0,Rowland Blvd and Rowland Way,17:29:31,17:58:04,1050.0,1078.0,1338.0,-260.0,0,1
4715,2022-01-29 16:17:00,1900-01-01 16:17:00,white,1_Moving violation,Yes,,100 Seminary Dr,17:30:39,17:59:08,1051.0,1079.0,977.0,102.0,0,0
4716,2022-01-29 19:40:00,1900-01-01 19:40:00,white,2_Equipment violation,No,3.0,Marinwood @ Miller Creek ,17:30:39,17:59:08,1051.0,1079.0,1180.0,-101.0,1,1
4717,2022-01-29 19:52:00,1900-01-01 19:52:00,hispanic/latino(a),"3_Non-moving violation, including registration",No,1.0,SB 101 at Freitas,17:30:39,17:59:08,1051.0,1079.0,1192.0,-113.0,1,1
4718,2022-01-29 20:58:00,1900-01-01 20:58:00,white,2_Equipment violation,No,6.0,Sir Francis Drake/Andersen Dr,17:30:39,17:59:08,1051.0,1079.0,1258.0,-179.0,1,1
4719,2022-01-29 20:40:00,1900-01-01 20:40:00,hispanic/latino(a),2_Equipment violation,No,3.0,100 Shoreline Highway ,17:30:39,17:59:08,1051.0,1079.0,1240.0,-161.0,1,1
4720,2022-01-29 20:50:00,1900-01-01 20:50:00,hispanic/latino(a),2_Equipment violation,No,3.0,100 Shoreline Highway,17:30:39,17:59:08,1051.0,1079.0,1250.0,-171.0,1,1
4721,2022-01-29 22:20:00,1900-01-01 22:20:00,white,2_Equipment violation,Yes,1.0,N. San Pedro and Merrydale,17:30:39,17:59:08,1051.0,1079.0,1340.0,-261.0,0,1
4722,2022-01-29 22:15:00,1900-01-01 22:15:00,white,1_Moving violation,No,3.0,500 Redwood Highway Frontage ,17:30:39,17:59:08,1051.0,1079.0,1335.0,-256.0,0,1
4723,2022-01-29 23:08:00,1900-01-01 23:08:00,hispanic/latino(a),2_Equipment violation,No,1.0,N. San Pedro and Mandy ,17:30:39,17:59:08,1051.0,1079.0,1388.0,-309.0,0,1
4731,2022-01-30 20:08:00,1900-01-01 20:08:00,black/african american,2_Equipment violation,No,0.0,Shoreline Highway / Highway 101,17:31:47,18:00:12,1052.0,1080.0,1208.0,-128.0,1,1
4732,2022-01-30 21:55:00,1900-01-01 21:55:00,black/african american,2_Equipment violation,No,4.0,Belvedere Dr/Redwood Hwy Frontage Rd,17:31:47,18:00:12,1052.0,1080.0,1315.0,-235.0,0,1
4734,2022-01-30 22:37:00,1900-01-01 22:37:00,black/african american,,No,4.0,Hwy 101/Hwy 131,17:31:47,18:00:12,1052.0,1080.0,1357.0,-277.0,0,1
4736,2022-01-31 19:29:00,1900-01-01 19:29:00,white,1_Moving violation,No,15.0,SB101/N San Pedro Rd,17:32:55,18:01:16,1053.0,1081.0,1169.0,-88.0,1,1
4737,2022-01-31 23:26:00,1900-01-01 23:26:00,black/african american,"3_Non-moving violation, including registration",No,7.0,100 Sir Francis Drake Blvd ,17:32:55,18:01:16,1053.0,1081.0,1406.0,-325.0,0,1
4740,2022-02-01 20:32:00,1900-01-01 20:32:00,middle eastern or south asian,2_Equipment violation,No,0.0,101 North / Redwood Highway Frontage Road,17:34:03,18:02:21,1054.0,1082.0,1232.0,-150.0,1,1
4741,2022-02-01 22:30:00,1900-01-01 22:30:00,hispanic/latino(a),2_Equipment violation,No,7.0,2000 Redwood Hwy ,17:34:03,18:02:21,1054.0,1082.0,1350.0,-268.0,0,1
4742,2022-02-01 20:11:00,1900-01-01 20:11:00,white,2_Equipment violation,No,4.0,100 Shoreline Hwy,17:34:03,18:02:21,1054.0,1082.0,1211.0,-129.0,1,1
4744,2022-02-02 16:23:00,1900-01-01 16:23:00,white,"3_Non-moving violation, including registration",No,5.0,E strawberry Dr/ Herring Dr,17:35:10,18:03:25,1055.0,1083.0,983.0,100.0,0,0
4745,2022-02-02 16:13:00,1900-01-01 16:13:00,white,,Yes,5.0,Reed Blvd/Knoll Ln,17:35:10,18:03:25,1055.0,1083.0,973.0,110.0,0,0
4746,2022-02-02 20:30:00,1900-01-01 20:30:00,white,2_Equipment violation,No,3.0,Hwy 101/ Paradise Dr,17:35:10,18:03:25,1055.0,1083.0,1230.0,-147.0,1,1
4747,2022-02-02 20:16:00,1900-01-01 20:16:00,black/african american,"3_Non-moving violation, including registration",No,1.0,NB 101 at Nave Dr ,17:35:10,18:03:25,1055.0,1083.0,1216.0,-133.0,1,1
4748,2022-02-02 21:28:00,1900-01-01 21:28:00,hispanic/latino(a),1_Moving violation,No,6.0,NICASIO ROAD / NICASIO SQUARE,17:35:10,18:03:25,1055.0,1083.0,1288.0,-205.0,0,1
4751,2022-02-02 21:35:00,1900-01-01 21:35:00,black/african american,2_Equipment violation,No,1.0,NB 101 at De Long Avenue ,17:35:10,18:03:25,1055.0,1083.0,1295.0,-212.0,0,1
4752,2022-02-02 21:33:00,1900-01-01 21:33:00,black/african american,,No,1.0,NB 101 at De Long Ave ,17:35:10,18:03:25,1055.0,1083.0,1293.0,-210.0,0,1
