date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark,neighborhood,zip,coords,gmap address
,,,,,,,,,,,,,,,Ignacio Boulevard,94949,"38.0662426, -122.5399699","300 Ignacio Blvd, Novato, CA 94949, USA"
,,,,,,,,,,,,,,,Miller Creek Road,94903,"38.0328435, -122.5445086","300 Miller Creek Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,North San Pedro Road,94903,"38.0065256, -122.51894","300 N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,North San Pedro Road,94903,"38.0065256, -122.51894","300 N San Pedro Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.0253519, -122.5184233","300 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.0253519, -122.5184233","300 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Strawberry Village,94941,"37.89757669999999, -122.5150361","300 Strawberry Village, Mill Valley, CA 94941, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Paradise Drive,94920,"37.8880294, -122.4449766","3000 Paradise Dr, Tiburon, CA 94920, USA"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3000 Civic Center Dr, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,Sir Francis Drake Boulevard,94930,"38.0048976, -122.6143249","3200 Sir Francis Drake Blvd, Fairfax, CA 94930, USA"
,,,,,,,,,,,,,,,Smith Ranch Road,94903,"38.01981370000001, -122.5223696","350 Smith Ranch Rd, San Rafael, CA 94903, USA"
,,,,,,,,,,,,,,,United States,94965,"41.3632465, -123.9894411","US-101, United States"
,,,,,,,,,,,,,,,Civic Center Drive,94903,"38.0016302, -122.5367593","3500 Civic Center Dr, San Rafael, CA 94903, USA"
