date,time,race,type,race perceived prior,experience,location,sunsettime,dusktime,mins_sunset,mins_dusk,mins_stop_time,mins_before_dusk,itp,dark
2020-10-11 20:34:00,1900-01-01 20:34:00,white,"3_Non-moving violation, including registration",,4.0,5000 Shoreline Highway ,18:37:51,19:04:47,1118.0,1145.0,1234.0,-89.0,1,1
2020-10-11 22:00:00,1900-01-01 22:00:00,asian,1_Moving violation,,0.0,SB Hwy 101/ Lucas Valley Road,18:37:51,19:04:47,1118.0,1145.0,1320.0,-175.0,0,1
2020-10-11 21:15:00,1900-01-01 21:15:00,white,2_Equipment violation,,0.0,4000 Binford Road,18:37:51,19:04:47,1118.0,1145.0,1275.0,-130.0,0,1
2020-10-12 08:45:00,1900-01-01 08:45:00,white,2_Equipment violation,,3.0,400 drake ,18:36:24,19:03:22,1116.0,1143.0,525.0,618.0,0,0
2020-10-12 09:07:00,1900-01-01 09:07:00,black/african american,2_Equipment violation,,3.0,E blithedale/tower,18:36:24,19:03:22,1116.0,1143.0,547.0,596.0,0,0
2020-10-12 13:58:00,1900-01-01 13:58:00,white,1_Moving violation,,6.0,Highway 101 and Marinwood ,18:36:24,19:03:22,1116.0,1143.0,838.0,305.0,0,0
2020-10-12 19:56:00,1900-01-01 19:56:00,hispanic/latino(a),,,11.0,Woodland ave and Auburn street,18:36:24,19:03:22,1116.0,1143.0,1196.0,-53.0,1,1
2020-10-12 20:53:00,1900-01-01 20:53:00,hispanic/latino(a),1_Moving violation,,14.0,12000 Pt Reyes Petaluma Rd,18:36:24,19:03:22,1116.0,1143.0,1253.0,-110.0,1,1
2020-10-11 16:48:00,1900-01-01 16:48:00,white,1_Moving violation,,15.0,Downtown Tomales,18:37:51,19:04:47,1118.0,1145.0,1008.0,137.0,0,0
2020-10-12 21:36:00,1900-01-01 21:36:00,white,,,11.0,6 Lucky Drive,18:36:24,19:03:22,1116.0,1143.0,1296.0,-153.0,0,1
2020-10-13 23:46:00,1900-01-01 23:46:00,white,"3_Non-moving violation, including registration",,,Harbor Drive/Bridgeway,18:34:58,19:01:58,1115.0,1142.0,1426.0,-284.0,0,1
2020-10-12 23:53:00,1900-01-01 23:53:00,hispanic/latino(a),2_Equipment violation,,5.0,200  TENNESSEE VALLEY RD,18:36:24,19:03:22,1116.0,1143.0,1433.0,-290.0,0,1
2020-10-12 23:38:00,1900-01-01 23:38:00,white,,,5.0,700 DONAHUE ST,18:36:24,19:03:22,1116.0,1143.0,1418.0,-275.0,0,1
2020-10-12 23:58:00,1900-01-01 23:58:00,black/african american,,,5.0,700 DONAHUE ST,18:36:24,19:03:22,1116.0,1143.0,1438.0,-295.0,0,1
2020-10-13 09:20:00,1900-01-01 09:20:00,white,"3_Non-moving violation, including registration",,4.0,Atherton Ave. @ Saddle Wood Drive ,18:34:58,19:01:58,1115.0,1142.0,560.0,582.0,0,0
